date,time,epoch,moteid,value
2004-02-28,01:00:46.644337,6,10,2.67532
2004-02-28,01:01:16.435251,7,10,2.67532
2004-02-28,01:05:16.263678,15,10,2.67532
2004-02-28,01:05:46.690061,16,10,2.67532
2004-02-28,01:06:16.190103,17,10,2.68742
2004-02-28,01:07:16.312716,19,10,2.67532
2004-02-28,01:08:46.642725,22,10,2.67532
2004-02-28,01:09:16.259468,23,10,2.67532
2004-02-28,01:09:46.375226,24,10,2.67532
2004-02-28,01:10:16.715445,25,10,2.67532
2004-02-28,01:11:16.746522,27,10,2.68742
2004-02-28,01:11:46.698122,28,10,2.67532
2004-02-28,01:12:16.195676,29,10,2.67532
2004-02-28,01:12:46.710034,30,10,2.67532
2004-02-28,01:13:45.953727,32,10,2.67532
2004-02-28,01:14:15.952335,33,10,2.67532
2004-02-28,01:14:45.96087,34,10,2.67532
2004-02-28,01:15:16.508428,35,10,2.68742
2004-02-28,01:15:46.267937,36,10,2.68742
2004-02-28,01:16:16.547693,37,10,2.67532
2004-02-28,01:16:46.619665,38,10,2.68742
2004-02-28,01:17:16.595442,39,10,2.68742
2004-02-28,01:17:46.843465,40,10,2.67532
2004-02-28,01:18:16.846971,41,10,2.67532
2004-02-28,01:18:45.972377,42,10,2.67532
2004-02-28,01:19:16.77203,43,10,2.68742
2004-02-28,01:19:46.749164,44,10,2.68742
2004-02-28,01:20:46.1023,46,10,2.68742
2004-02-28,01:21:15.998272,47,10,2.67532
2004-02-28,01:21:45.98338,48,10,2.68742
2004-02-28,01:22:15.988781,49,10,2.67532
2004-02-28,01:22:45.983121,50,10,2.68742
2004-02-28,01:23:46.114021,52,10,2.67532
2004-02-28,01:24:16.626192,53,10,2.68742
2004-02-28,01:24:46.814844,54,10,2.67532
2004-02-28,01:25:16.071861,55,10,2.67532
2004-02-28,01:25:46.848811,56,10,2.67532
2004-02-28,01:26:16.001584,57,10,2.67532
2004-02-28,01:26:46.074206,58,10,2.67532
2004-02-28,01:27:16.841547,59,10,2.67532
2004-02-28,01:27:46.262286,60,10,2.67532
2004-02-28,01:28:46.556432,62,10,2.68742
2004-02-28,01:29:46.280553,64,10,2.68742
2004-02-28,01:30:16.003662,65,10,2.68742
2004-02-28,01:31:16.288292,67,10,2.67532
2004-02-28,01:31:46.274002,68,10,2.67532
2004-02-28,01:32:16.944902,69,10,2.68742
2004-02-28,01:33:46.323312,72,10,2.68742
2004-02-28,01:34:16.329892,73,10,2.68742
2004-02-28,01:34:46.557301,74,10,2.67532
2004-02-28,01:36:46.409668,78,10,2.68742
2004-02-28,01:37:16.573305,79,10,2.67532
2004-02-28,01:37:46.653574,80,10,2.68742
2004-02-28,01:38:16.775784,81,10,2.67532
2004-02-28,01:38:46.815789,82,10,2.67532
2004-02-28,01:39:45.792741,84,10,2.68742
2004-02-28,01:40:16.985756,85,10,2.67532
2004-02-28,01:42:16.610515,89,10,2.67532
2004-02-28,01:43:16.363034,91,10,2.67532
2004-02-28,01:43:46.478368,92,10,2.68742
2004-02-28,01:44:16.677629,93,10,2.67532
2004-02-28,01:44:46.330301,94,10,2.67532
2004-02-28,01:45:46.511176,96,10,2.67532
2004-02-28,01:46:16.754434,97,10,2.67532
2004-02-28,01:47:46.446487,100,10,2.67532
2004-02-28,01:48:16.23073,101,10,2.67532
2004-02-28,01:49:46.535205,104,10,2.67532
2004-02-28,01:50:46.357439,106,10,2.67532
2004-02-28,01:51:16.608735,107,10,2.68742
2004-02-28,01:51:47.025854,108,10,2.68742
2004-02-28,01:52:16.584733,109,10,2.68742
2004-02-28,01:52:47.037644,110,10,2.67532
2004-02-28,01:53:16.442202,111,10,2.68742
2004-02-28,01:54:16.239944,113,10,2.67532
2004-02-28,01:54:46.176028,114,10,2.67532
2004-02-28,01:55:16.117385,115,10,2.67532
2004-02-28,01:56:16.274714,117,10,2.67532
2004-02-28,01:56:46.488706,118,10,2.68742
2004-02-28,01:57:16.478785,119,10,2.67532
2004-02-28,01:58:16.973519,121,10,2.66332
2004-02-28,01:59:16.136638,123,10,2.67532
2004-02-28,02:00:16.262042,125,10,2.67532
2004-02-28,02:00:46.728833,126,10,2.68742
2004-02-28,02:01:15.975804,127,10,2.67532
2004-02-28,02:01:47.029602,128,10,2.67532
2004-02-28,02:02:46.305516,130,10,2.68742
2004-02-28,02:03:16.113853,131,10,2.67532
2004-02-28,02:03:46.976739,132,10,2.67532
2004-02-28,02:05:16.192824,135,10,2.67532
2004-02-28,02:05:46.511007,136,10,2.67532
2004-02-28,02:06:16.681492,137,10,2.67532
2004-02-28,02:08:16.648379,141,10,2.67532
2004-02-28,02:08:46.794947,142,10,2.67532
2004-02-28,02:10:16.130981,145,10,2.67532
2004-02-28,02:11:16.414021,147,10,2.68742
2004-02-28,02:11:46.279465,148,10,2.67532
2004-02-28,02:12:16.215841,149,10,2.67532
2004-02-28,02:12:46.015758,150,10,2.68742
2004-02-28,02:13:16.41095,151,10,2.67532
2004-02-28,02:13:46.12125,152,10,2.67532
2004-02-28,02:14:16.698709,153,10,2.67532
2004-02-28,02:14:46.480256,154,10,2.67532
2004-02-28,02:15:46.703005,156,10,2.67532
2004-02-28,02:16:16.652353,157,10,2.67532
2004-02-28,02:16:46.9119,158,10,2.67532
2004-02-28,02:18:16.534888,161,10,2.67532
2004-02-28,02:18:46.567437,162,10,2.67532
2004-02-28,02:19:16.709983,163,10,2.67532
2004-02-28,02:19:46.209053,164,10,2.67532
