date,time,epoch,moteid,value
2004-03-29,17:11:43.346823,510,56,24.1534
2004-03-29,17:12:42.846359,512,56,23.535999999999998
2004-03-29,17:13:12.810219,513,56,23.4772
2004-03-29,17:26:13.008641,51900,56,24.2318
2004-03-29,17:27:42.972219,51903,56,25.5646
2004-03-29,17:29:13.294244,51906,56,25.6136
2004-03-29,17:29:43.114426,51907,56,25.6136
2004-03-29,17:34:12.678174,51916,56,25.8194
2004-03-29,17:34:42.663213,51917,56,25.8292
2004-03-29,17:36:43.145572,51921,56,26.2114
2004-03-29,17:38:42.967967,51925,56,26.2996
2004-03-29,17:42:43.223638,51933,56,25.2216
2004-03-29,17:44:15.402704,51936,56,25.398000000000003
2004-03-29,17:52:22.519508,51952,56,25.0158
2004-03-29,18:19:13.006451,52006,56,24.7218
2004-03-29,18:21:43.397987,52011,56,24.7414
2004-03-29,18:22:13.547872,52012,56,24.7316
2004-03-29,18:25:13.466988,52018,56,24.4474
2004-03-29,18:26:13.245418,52020,56,24.369
2004-03-29,18:27:13.415359,52022,56,24.369
2004-03-29,18:28:13.178413,52024,56,24.3298
2004-03-29,18:34:13.76432,52036,56,24.5748
2004-03-29,18:42:43.132028,52053,56,24.8884
2004-03-29,18:45:43.514677,52059,56,25.496
2004-03-29,18:46:42.763886,52061,56,25.4666
2004-03-29,18:48:42.821591,52065,56,25.4176
2004-03-29,18:50:43.477748,52069,56,25.2216
2004-03-29,18:53:13.614985,52074,56,25.0158
2004-03-29,18:53:42.913629,52075,56,24.9962
2004-03-29,18:54:13.028152,52076,56,24.9864
2004-03-29,18:56:43.291889,52081,56,24.8394
2004-03-29,18:57:43.663792,52083,56,24.7512
2004-03-29,18:59:13.559974,52086,56,24.8198
2004-03-29,19:00:13.647411,52088,56,24.8982
2004-03-29,19:00:43.684602,52089,56,24.761
2004-03-29,19:01:20.127671,52090,56,24.6532
2004-03-29,19:01:43.731815,52091,56,24.6042
2004-03-29,19:02:56.773544,52093,56,24.5062
2004-03-29,19:03:43.635536,52095,56,24.418000000000003
2004-03-29,19:06:43.713705,52101,56,24.663
2004-03-29,19:20:13.662967,52128,56,22.752
2004-03-29,19:20:43.660524,52129,56,22.7226
2004-03-29,19:24:13.12996,52136,56,22.5952
2004-03-29,19:25:13.655441,52138,56,22.5854
2004-03-29,19:26:13.584565,52140,56,22.5462
2004-03-29,19:28:13.796109,52144,56,22.5168
2004-03-29,19:29:43.559991,52147,56,22.4678
2004-03-29,19:30:43.744613,52149,56,22.4482
2004-03-29,19:35:13.355324,52158,56,22.36
2004-03-29,19:36:43.737295,52161,56,22.3404
2004-03-29,19:39:43.132148,52167,56,22.2816
2004-03-29,20:13:13.651849,52234,56,21.8014
2004-03-29,20:15:13.369416,52238,56,21.7818
2004-03-29,20:18:13.311718,52244,56,21.7426
2004-03-29,20:23:13.561805,52254,56,21.6642
2004-03-29,20:25:43.757651,52259,56,21.6544
2004-03-29,20:26:13.339552,52260,56,21.6446
2004-03-29,20:28:13.475005,52264,56,21.625
2004-03-29,20:28:43.76992,52265,56,21.6054
2004-03-29,20:30:43.232152,52269,56,21.5956
2004-03-29,20:31:13.52437,52270,56,21.5858
2004-03-29,20:32:13.5727,52272,56,21.5564
2004-03-29,20:33:13.649367,52274,56,21.5564
2004-03-29,20:34:13.612056,52276,56,21.5172
2004-03-29,20:34:43.833184,52277,56,21.5172
2004-03-29,20:38:13.231565,52284,56,21.4976
2004-03-29,20:39:43.499609,52287,56,21.4682
2004-03-29,20:43:43.584874,52295,56,21.4192
2004-03-29,20:44:13.048592,52296,56,21.3996
2004-03-29,20:46:13.123614,52300,56,21.3996
2004-03-29,20:48:43.843936,52305,56,21.38
2004-03-29,20:57:43.801848,52323,56,21.281999999999996
2004-03-29,20:58:43.815732,52325,56,21.2722
2004-03-29,20:59:43.878051,52327,56,21.2624
2004-03-29,21:00:43.300249,52329,56,21.233
2004-03-29,21:02:13.489815,52332,56,21.2036
2004-03-29,21:03:13.270982,52334,56,21.2036
2004-03-29,21:04:13.286391,52336,56,21.184
