date,time,epoch,moteid,value
2004-02-28,01:06:46.232475,18,46,38.5993
2004-02-28,01:07:16.327646,19,46,38.6675
2004-02-28,01:07:46.088858,20,46,38.6675
2004-02-28,01:08:16.813675,21,46,38.7357
2004-02-28,01:08:46.125095,22,46,38.7357
2004-02-28,01:09:16.811305,23,46,38.7698
2004-02-28,01:09:46.088618,24,46,38.8039
2004-02-28,01:10:16.59037,25,46,38.7698
2004-02-28,01:10:46.584325,26,46,38.7698
2004-02-28,01:11:16.468074,27,46,38.8039
2004-02-28,01:11:46.489869,28,46,38.8039
2004-02-28,01:12:16.27117,29,46,38.7698
2004-02-28,01:12:46.250579,30,46,38.8039
2004-02-28,01:13:16.502966,31,46,38.7357
2004-02-28,01:13:46.474041,32,46,38.7698
2004-02-28,01:14:16.478685,33,46,38.8039
2004-02-28,01:14:46.315021,34,46,38.8039
2004-02-28,01:15:15.977291,35,46,38.8039
2004-02-28,01:15:46.53044,36,46,38.8039
2004-02-28,01:16:16.753745,37,46,38.8379
2004-02-28,01:16:46.748579,38,46,38.8039
2004-02-28,01:17:16.66752,39,46,38.8039
2004-02-28,01:17:46.24192,40,46,38.8039
2004-02-28,01:18:46.747305,42,46,38.872
2004-02-28,01:19:16.519336,43,46,38.8039
2004-02-28,01:19:46.499204,44,46,38.8039
2004-02-28,01:20:16.567523,45,46,38.8039
2004-02-28,01:20:46.274877,46,46,38.8039
2004-02-28,01:21:16.495358,47,46,38.8039
2004-02-28,01:21:46.658369,48,46,38.8039
2004-02-28,01:22:16.778116,49,46,38.8039
2004-02-28,01:22:46.782347,50,46,38.8039
2004-02-28,01:23:16.507139,51,46,38.8379
2004-02-28,01:23:46.286209,52,46,38.8379
2004-02-28,01:24:16.298011,53,46,38.872
2004-02-28,01:24:46.588222,54,46,38.8039
2004-02-28,01:25:16.531178,55,46,38.8379
2004-02-28,01:25:46.76743,56,46,38.8379
2004-02-28,01:26:16.526908,57,46,38.8379
2004-02-28,01:26:46.264121,58,46,38.8379
2004-02-28,01:27:16.431669,59,46,38.872
2004-02-28,01:27:46.605468,60,46,38.872
2004-02-28,01:28:16.049097,61,46,38.872
2004-02-28,01:28:46.058835,62,46,38.872
2004-02-28,01:29:16.644759,63,46,38.872
2004-02-28,01:29:46.27922,64,46,38.872
2004-02-28,01:30:16.033972,65,46,38.9401
2004-02-28,01:30:46.323608,66,46,38.9061
2004-02-28,01:31:16.131105,67,46,38.9061
2004-02-28,01:31:46.085864,68,46,38.9061
2004-02-28,01:32:16.368762,69,46,38.9061
2004-02-28,01:32:46.829973,70,46,38.9061
2004-02-28,01:33:16.53259,71,46,38.9401
2004-02-28,01:33:46.874576,72,46,38.9061
2004-02-28,01:34:16.045599,73,46,38.9401
2004-02-28,01:34:46.982039,74,46,38.9401
2004-02-28,01:35:16.875718,75,46,38.9401
2004-02-28,01:35:46.409764,76,46,38.9401
2004-02-28,01:36:16.800843,77,46,38.9401
2004-02-28,01:36:46.334332,78,46,38.9401
2004-02-28,01:37:16.302173,79,46,38.9742
2004-02-28,01:37:46.8136,80,46,38.9401
2004-02-28,01:38:16.057326,81,46,38.9742
2004-02-28,01:38:46.684911,82,46,38.9742
